donation_amount,donation_dummy,control,treatment,match_ratio,ratio1,ratio2,ratio3,red_state_dummy,months_since_last_donation,highest_previous_donation,prior_donations_num
0,0,0,1,1,1,0,0,1,19,500,32
0,0,1,0,0,0,0,0,1,29,300,22
0,0,1,0,0,0,0,0,1,3,500,22
0,0,0,1,3,0,0,1,0,4,250,29
0,0,0,1,2,0,1,0,0,8,50,17
0,0,0,1,1,1,0,0,0,26,25,4
0,0,1,0,0,0,0,0,0,28,35,10
0,0,0,1,2,0,1,0,1,11,300,20
0,0,0,1,3,0,0,1,1,30,100,8
0,0,0,1,1,1,0,0,1,17,50,14
0,0,0,1,2,0,1,0,1,6,50,8
0,0,1,0,0,0,0,0,1,69,100,10
0,0,0,1,3,0,0,1,0,30,35,14
0,0,0,1,1,1,0,0,1,13,90,5
0,0,0,1,1,1,0,0,1,5,1000,24
0,0,1,0,0,0,0,0,1,20,500,15
0,0,0,1,3,0,0,1,0,28,50,26
0,0,0,1,1,1,0,0,0,27,1000,31
0,0,0,1,2,0,1,0,1,8,250,19
0,0,0,1,3,0,0,1,1,27,45,10
0,0,0,1,3,0,0,1,1,3,55,5
0,0,1,0,0,0,0,0,1,31,190,3
0,0,1,0,0,0,0,0,1,31,25,28
0,0,0,1,1,1,0,0,1,22,75,27
40,1,0,1,2,0,1,0,1,7,100,41
0,0,0,1,1,1,0,0,1,2,75,27
0,0,1,0,0,0,0,0,1,14,50,107
0,0,1,0,0,0,0,0,0,26,300,6
0,0,0,1,3,0,0,1,0,6,100,20
0,0,0,1,1,1,0,0,0,10,45,11
0,0,0,1,1,1,0,0,0,36,500,27
25,1,0,1,1,1,0,0,0,8,25,19
0,0,0,1,3,0,0,1,0,3,35,20
0,0,1,0,0,0,0,0,0,35,100,8
0,0,0,1,2,0,1,0,0,5,35,17
0,0,0,1,3,0,0,1,0,1,118,24
0,0,0,1,3,0,0,1,0,10,75,16
0,0,0,1,1,1,0,0,0,1,45,218
0,0,0,1,1,1,0,0,0,24,35,30
0,0,0,1,2,0,1,0,0,35,300,15
0,0,0,1,3,0,0,1,0,6,35,32
0,0,0,1,3,0,0,1,0,4,20,20
0,0,0,1,2,0,1,0,0,5,100,19
0,0,0,1,2,0,1,0,0,2,60,28
0,0,0,1,3,0,0,1,0,8,50,1
0,0,0,1,1,1,0,0,1,19,55,17
0,0,0,1,1,1,0,0,0,42,75,16
0,0,1,0,0,0,0,0,0,42,35,20
0,0,0,1,2,0,1,0,0,10,100,22
0,0,0,1,3,0,0,1,0,6,35,6
0,0,0,1,3,0,0,1,0,28,100,59
25,1,0,1,1,1,0,0,0,30,200,14
0,0,0,1,3,0,0,1,0,6,50,16
0,0,1,0,0,0,0,0,0,2,45,18
0,0,0,1,1,1,0,0,0,28,250,29
0,0,0,1,3,0,0,1,0,3,250,94
0,0,0,1,2,0,1,0,0,17,150,12
